PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,
11,0,3,male,22,1,0,A/5 21171,7.25,,S,
22,1,1,female,38,1,0,PC 17599,71.2833,C85,C,
33,1,3,female,26,0,0,STON/O2. 3101282,7.925,,S,
44,1,1,female,35,1,0,113803,53.1,C123,S,
55,0,3,male,35,0,0,373450,8.05,,S,
66,0,3,male,37.706787073228185,0,0,330877,8.4583,,Q,
77,0,1,male,54,0,0,17463,51.8625,E46,S,
88,0,3,male,2,3,1,349909,21.075,,S,
99,1,3,female,27,0,2,347742,11.1333,,S,
1010,1,2,female,14,1,0,237736,30.0708,,C,
1111,1,3,female,4,1,1,PP 9549,16.7,G6,S,
1212,1,1,female,58,0,0,113783,26.55,C103,S,
1313,0,3,male,20,0,0,A/5. 2151,8.05,,S,
1414,0,3,male,39,1,5,347082,31.275,,S,
1515,0,3,female,14,0,0,350406,7.8542,,S,
1616,1,2,female,55,0,0,248706,16,,S,
1717,0,3,male,2,4,1,382652,29.125,,Q,
1818,1,2,male,17.90266422701734,0,0,244373,13,,S,
1919,0,3,female,31,1,0,345763,18,,S,
2020,1,3,female,16.10659384594377,0,0,2649,7.225,,C,
2121,0,2,male,35,0,0,239865,26,,S,
2222,1,2,male,34,0,0,248698,13,D56,S,
2323,1,3,female,15,0,0,330923,8.0292,,Q,
2424,1,1,male,28,0,0,113788,35.5,A6,S,
2525,0,3,female,8,3,1,349909,21.075,,S,
2626,1,3,female,38,1,5,347077,31.3875,,S,
2727,0,3,male,29.7158918459415,0,0,2631,7.225,,C,
2828,0,1,male,19,3,2,19950,263,C23 C25 C27,S,
2929,1,3,female,6.264717055028662,0,0,330959,7.8792,,Q,
3030,0,3,male,43.46390129305486,0,0,349216,7.8958,,S,
3131,0,1,male,40,0,0,PC 17601,27.7208,,C,
3232,1,1,female,44.84497456773595,1,0,PC 17569,146.5208,B78,C,
3333,1,3,female,30.840807022918703,0,0,335677,7.75,,Q,
3434,0,2,male,66,0,0,C.A. 24579,10.5,,S,
3535,0,1,male,28,1,0,PC 17604,82.1708,,C,
3636,0,1,male,42,1,0,113789,52,,S,
3737,1,3,male,46.377082239180595,0,0,2677,7.2292,,C,
3838,0,3,male,21,0,0,A./5. 2152,8.05,,S,
3939,0,3,female,18,2,0,345764,18,,S,
4040,1,3,female,14,1,0,2651,11.2417,,C,
4141,0,3,female,40,1,0,7546,9.475,,S,
4242,0,2,female,27,1,0,11668,21,,S,
4343,0,3,male,45.70586605657249,0,0,349253,7.8958,,C,
4444,1,2,female,3,1,2,SC/Paris 2123,41.5792,,C,
4545,1,3,female,19,0,0,330958,7.8792,,Q,
4646,0,3,male,4.0848146575923465,0,0,S.C./A.4. 23567,8.05,,S,
4747,0,3,male,42.215139696284005,1,0,370371,15.5,,Q,
4848,1,3,female,16.36497627678807,0,0,14311,7.75,,Q,
4949,0,3,male,6.107432461391518,2,0,2662,21.6792,,C,
5050,0,3,female,18,1,0,349237,17.8,,S,
5151,0,3,male,7,4,1,3101295,39.6875,,S,
5252,0,3,male,21,0,0,A/4. 39886,7.8,,S,
5353,1,1,female,49,1,0,PC 17572,76.7292,D33,C,
5454,1,2,female,29,1,0,2926,26,,S,
5555,0,1,male,65,0,1,113509,61.9792,B30,C,
5656,1,1,male,49.90854326467777,0,0,19947,35.5,C52,S,
5757,1,2,female,21,0,0,C.A. 31026,10.5,,S,
5858,0,3,male,28.5,0,0,2697,7.2292,,C,
5959,1,2,female,5,1,2,C.A. 34651,27.75,,S,
6060,0,3,male,11,5,2,CA 2144,46.9,,S,
6161,0,3,male,22,0,0,2669,7.2292,,C,
6262,1,1,female,38,0,0,113572,80,B28,,
6363,0,1,male,45,1,0,36973,83.475,C83,S,
6464,0,3,male,4,3,2,347088,27.9,,S,
6565,0,1,male,11.646643575593025,0,0,PC 17605,27.7208,,C,
6666,1,3,male,34.215985428534,1,1,2661,15.2458,,C,
6767,1,2,female,29,0,0,C.A. 29395,10.5,F33,S,
6868,0,3,male,19,0,0,S.P. 3464,8.1583,,S,
6969,1,3,female,17,4,2,3101281,7.925,,S,
7070,0,3,male,26,2,0,315151,8.6625,,S,
7171,0,2,male,32,0,0,C.A. 33111,10.5,,S,
7272,0,3,female,16,5,2,CA 2144,46.9,,S,
7373,0,2,male,21,0,0,S.O.C. 14879,73.5,,S,
7474,0,3,male,26,1,0,2680,14.4542,,C,
7575,1,3,male,32,0,0,1601,56.4958,,S,
7676,0,3,male,25,0,0,348123,7.65,F G73,S,
7777,0,3,male,47.37189329783577,0,0,349208,7.8958,,S,
7878,0,3,male,6.72779934566794,0,0,374746,8.05,,S,
7979,1,2,male,0.83,0,2,248738,29,,S,
8080,1,3,female,30,0,0,364516,12.475,,S,
8181,0,3,male,22,0,0,345767,9,,S,
8282,1,3,male,29,0,0,345779,9.5,,S,
8383,1,3,female,28.9644292836011,0,0,330932,7.7875,,Q,
8484,0,1,male,28,0,0,113059,47.1,,S,
8585,1,2,female,17,0,0,SO/C 14885,10.5,,S,
8686,1,3,female,33,3,0,3101278,15.85,,S,
8787,0,3,male,16,1,3,W./C. 6608,34.375,,S,
8888,0,3,male,9.244296227054669,0,0,SOTON/OQ 392086,8.05,,S,
8989,1,1,female,23,3,2,19950,263,C23 C25 C27,S,
9090,0,3,male,24,0,0,343275,8.05,,S,
9191,0,3,male,29,0,0,343276,8.05,,S,
9292,0,3,male,20,0,0,347466,7.8542,,S,
9393,0,1,male,46,1,0,W.E.P. 5734,61.175,E31,S,
9494,0,3,male,26,1,2,C.A. 2315,20.575,,S,
9595,0,3,male,59,0,0,364500,7.25,,S,
9696,0,3,male,31.848818134433987,0,0,374910,8.05,,S,
9797,0,1,male,71,0,0,PC 17754,34.6542,A5,C,
9898,1,1,male,23,0,1,PC 17759,63.3583,D10 D12,C,
9999,1,2,female,34,0,1,231919,23,,S,
100100,0,2,male,34,1,0,244367,26,,S,
101101,0,3,female,28,0,0,349245,7.8958,,S,
102102,0,3,male,34.11558945745516,0,0,349215,7.8958,,S,
103103,0,1,male,21,0,1,35281,77.2875,D26,S,
104104,0,3,male,33,0,0,7540,8.6542,,S,
105105,0,3,male,37,2,0,3101276,7.925,,S,
106106,0,3,male,28,0,0,349207,7.8958,,S,
107107,1,3,female,21,0,0,343120,7.65,,S,
108108,1,3,male,28.628680771874286,0,0,312991,7.775,,S,
109109,0,3,male,38,0,0,349249,7.8958,,S,
110110,1,3,female,35.63369507427085,1,0,371110,24.15,,Q,
111111,0,1,male,47,0,0,110465,52,C110,S,
112112,0,3,female,14.5,1,0,2665,14.4542,,C,
113113,0,3,male,22,0,0,324669,8.05,,S,
114114,0,3,female,20,1,0,4136,9.825,,S,
115115,0,3,female,17,0,0,2627,14.4583,,C,
116116,0,3,male,21,0,0,STON/O 2. 3101294,7.925,,S,
117117,0,3,male,70.5,0,0,370369,7.75,,Q,
118118,0,2,male,29,1,0,11668,21,,S,
119119,0,1,male,24,0,1,PC 17558,247.5208,B58 B60,C,
120120,0,3,female,2,4,2,347082,31.275,,S,
121121,0,2,male,21,2,0,S.O.C. 14879,73.5,,S,
122122,0,3,male,19.05239296132909,0,0,A4. 54510,8.05,,S,
123123,0,2,male,32.5,1,0,237736,30.0708,,C,
124124,1,2,female,32.5,0,0,27267,13,E101,S,
125125,0,1,male,54,0,1,35281,77.2875,D26,S,
126126,1,3,male,12,1,0,2651,11.2417,,C,
127127,0,3,male,7.022632089990779,0,0,370372,7.75,,Q,
128128,1,3,male,24,0,0,C 17369,7.1417,,S,
129129,1,3,female,11.417983666413143,1,1,2668,22.3583,F E69,C,
130130,0,3,male,45,0,0,347061,6.975,,S,
131131,0,3,male,33,0,0,349241,7.8958,,C,
132132,0,3,male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,
133133,0,3,female,47,1,0,A/5. 3337,14.5,,S,
134134,1,2,female,29,1,0,228414,26,,S,
135135,0,2,male,25,0,0,C.A. 29178,13,,S,
136136,0,2,male,23,0,0,SC/PARIS 2133,15.0458,,C,
137137,1,1,female,19,0,2,11752,26.2833,D47,S,
138138,0,1,male,37,1,0,113803,53.1,C123,S,
139139,0,3,male,16,0,0,7534,9.2167,,S,
140140,0,1,male,24,0,0,PC 17593,79.2,B86,C,
141141,0,3,female,19.690001189997187,0,2,2678,15.2458,,C,
142142,1,3,female,22,0,0,347081,7.75,,S,
143143,1,3,female,24,1,0,STON/O2. 3101279,15.85,,S,
144144,0,3,male,19,0,0,365222,6.75,,Q,
145145,0,2,male,18,0,0,231945,11.5,,S,
146146,0,2,male,19,1,1,C.A. 33112,36.75,,S,
147147,1,3,male,27,0,0,350043,7.7958,,S,
148148,0,3,female,9,2,2,W./C. 6608,34.375,,S,
149149,0,2,male,36.5,0,2,230080,26,F2,S,
150150,0,2,male,42,0,0,244310,13,,S,
151151,0,2,male,51,0,0,S.O.P. 1166,12.525,,S,
152152,1,1,female,22,1,0,113776,66.6,C2,S,
153153,0,3,male,55.5,0,0,A.5. 11206,8.05,,S,
154154,0,3,male,40.5,0,2,A/5. 851,14.5,,S,
155155,0,3,male,4.929778381915675,0,0,Fa 265302,7.3125,,S,
156156,0,1,male,51,0,1,PC 17597,61.3792,,C,
157157,1,3,female,16,0,0,35851,7.7333,,Q,
158158,0,3,male,30,0,0,SOTON/OQ 392090,8.05,,S,
159159,0,3,male,28.526796248321673,0,0,315037,8.6625,,S,
160160,0,3,male,39.5476086754797,8,2,CA. 2343,69.55,,S,
161161,0,3,male,44,0,1,371362,16.1,,S,
162162,1,2,female,40,0,0,C.A. 33595,15.75,,S,
163163,0,3,male,26,0,0,347068,7.775,,S,
164164,0,3,male,17,0,0,315093,8.6625,,S,
165165,0,3,male,1,4,1,3101295,39.6875,,S,
166166,1,3,male,9,0,2,363291,20.525,,S,
167167,1,1,female,10.570930403184157,0,1,113505,55,E33,S,
168168,0,3,female,45,1,4,347088,27.9,,S,
169169,0,1,male,23.59964511867884,0,0,PC 17318,25.925,,S,
170170,0,3,male,28,0,0,1601,56.4958,,S,
171171,0,1,male,61,0,0,111240,33.5,B19,S,
172172,0,3,male,4,4,1,382652,29.125,,Q,
173173,1,3,female,1,1,1,347742,11.1333,,S,
174174,0,3,male,21,0,0,STON/O 2. 3101280,7.925,,S,
175175,0,1,male,56,0,0,17764,30.6958,A7,C,
176176,0,3,male,18,1,1,350404,7.8542,,S,
177177,0,3,male,47.38857989340371,3,1,4133,25.4667,,S,
178178,0,1,female,50,0,0,PC 17595,28.7125,C49,C,
179179,0,2,male,30,0,0,250653,13,,S,
180180,0,3,male,36,0,0,LINE,0,,S,
181181,0,3,female,34.580971050711184,8,2,CA. 2343,69.55,,S,
182182,0,2,male,30.460169636961954,0,0,SC/PARIS 2131,15.05,,C,
183183,0,3,male,9,4,2,347077,31.3875,,S,
184184,1,2,male,1,2,1,230136,39,F4,S,
185185,1,3,female,4,0,2,315153,22.025,,S,
186186,0,1,male,20.19199103416694,0,0,113767,50,A32,S,
187187,1,3,female,47.205734120302644,1,0,370365,15.5,,Q,
188188,1,1,male,45,0,0,111428,26.55,,S,
189189,0,3,male,40,1,1,364849,15.5,,Q,
190190,0,3,male,36,0,0,349247,7.8958,,S,
191191,1,2,female,32,0,0,234604,13,,S,
192192,0,2,male,19,0,0,28424,13,,S,
193193,1,3,female,19,1,0,350046,7.8542,,S,
194194,1,2,male,3,1,1,230080,26,F2,S,
195195,1,1,female,44,0,0,PC 17610,27.7208,B4,C,
196196,1,1,female,58,0,0,PC 17569,146.5208,B80,C,
197197,0,3,male,4.681560607172493,0,0,368703,7.75,,Q,
198198,0,3,male,42,0,1,4579,8.4042,,S,
199199,1,3,female,1.079960493786352,0,0,370370,7.75,,Q,
200200,0,2,female,24,0,0,248747,13,,S,
201201,0,3,male,28,0,0,345770,9.5,,S,
202202,0,3,male,10.593310998395566,8,2,CA. 2343,69.55,,S,
203203,0,3,male,34,0,0,3101264,6.4958,,S,
204204,0,3,male,45.5,0,0,2628,7.225,,C,
205205,1,3,male,18,0,0,A/5 3540,8.05,,S,
206206,0,3,female,2,0,1,347054,10.4625,G6,S,
207207,0,3,male,32,1,0,3101278,15.85,,S,
208208,1,3,male,26,0,0,2699,18.7875,,C,
209209,1,3,female,16,0,0,367231,7.75,,Q,
210210,1,1,male,40,0,0,112277,31,A31,C,
211211,0,3,male,24,0,0,SOTON/O.Q. 3101311,7.05,,S,
212212,1,2,female,35,0,0,F.C.C. 13528,21,,S,
213213,0,3,male,22,0,0,A/5 21174,7.25,,S,
214214,0,2,male,30,0,0,250646,13,,S,
215215,0,3,male,22.25451020691326,1,0,367229,7.75,,Q,
216216,1,1,female,31,1,0,35273,113.275,D36,C,
217217,1,3,female,27,0,0,STON/O2. 3101283,7.925,,S,
218218,0,2,male,42,1,0,243847,27,,S,
219219,1,1,female,32,0,0,11813,76.2917,D15,C,
220220,0,2,male,30,0,0,W/C 14208,10.5,,S,
221221,1,3,male,16,0,0,SOTON/OQ 392089,8.05,,S,
222222,0,2,male,27,0,0,220367,13,,S,
223223,0,3,male,51,0,0,21440,8.05,,S,
224224,0,3,male,48.429293288690786,0,0,349234,7.8958,,S,
225225,1,1,male,38,1,0,19943,90,C93,S,
226226,0,3,male,22,0,0,PP 4348,9.35,,S,
227227,1,2,male,19,0,0,SW/PP 751,10.5,,S,
228228,0,3,male,20.5,0,0,A/5 21173,7.25,,S,
229229,0,2,male,18,0,0,236171,13,,S,
230230,0,3,female,22.198307849005765,3,1,4133,25.4667,,S,
231231,1,1,female,35,1,0,36973,83.475,C83,S,
232232,0,3,male,29,0,0,347067,7.775,,S,
233233,0,2,male,59,0,0,237442,13.5,,S,
234234,1,3,female,5,4,2,347077,31.3875,,S,
235235,0,2,male,24,0,0,C.A. 29566,10.5,,S,
236236,0,3,female,43.43685968031558,0,0,W./C. 6609,7.55,,S,
237237,0,2,male,44,1,0,26707,26,,S,
238238,1,2,female,8,0,2,C.A. 31921,26.25,,S,
239239,0,2,male,19,0,0,28665,10.5,,S,
240240,0,2,male,33,0,0,SCO/W 1585,12.275,,S,
241241,0,3,female,12.148662489572374,1,0,2665,14.4542,,C,
242242,1,3,female,36.126197422483116,1,0,367230,15.5,,Q,
243243,0,2,male,29,0,0,W./C. 14263,10.5,,S,
244244,0,3,male,22,0,0,STON/O 2. 3101275,7.125,,S,
245245,0,3,male,30,0,0,2694,7.225,,C,
246246,0,1,male,44,2,0,19928,90,C78,Q,
247247,0,3,female,25,0,0,347071,7.775,,S,
248248,1,2,female,24,0,2,250649,14.5,,S,
249249,1,1,male,37,1,1,11751,52.5542,D35,S,
250250,0,2,male,54,1,0,244252,26,,S,
251251,0,3,male,46.596775871412994,0,0,362316,7.25,,S,
252252,0,3,female,29,1,1,347054,10.4625,G6,S,
253253,0,1,male,62,0,0,113514,26.55,C87,S,
254254,0,3,male,30,1,0,A/5. 3336,16.1,,S,
255255,0,3,female,41,0,2,370129,20.2125,,S,
256256,1,3,female,29,0,2,2650,15.2458,,C,
257257,1,1,female,4.212997742177315,0,0,PC 17585,79.2,,C,
258258,1,1,female,30,0,0,110152,86.5,B77,S,
259259,1,1,female,35,0,0,PC 17755,512.3292,,C,
260260,1,2,female,50,0,1,230433,26,,S,
261261,0,3,male,7.199077828760444,0,0,384461,7.75,,Q,
262262,1,3,male,3,4,2,347077,31.3875,,S,
263263,0,1,male,52,1,1,110413,79.65,E67,S,
264264,0,1,male,40,0,0,112059,0,B94,S,
265265,0,3,female,6.057006369836131,0,0,382649,7.75,,Q,
266266,0,2,male,36,0,0,C.A. 17248,10.5,,S,
267267,0,3,male,16,4,1,3101295,39.6875,,S,
268268,1,3,male,25,1,0,347083,7.775,,S,
269269,1,1,female,58,0,1,PC 17582,153.4625,C125,S,
270270,1,1,female,35,0,0,PC 17760,135.6333,C99,S,
271271,0,1,male,18.241252950831832,0,0,113798,31,,S,
272272,1,3,male,25,0,0,LINE,0,,S,
273273,1,2,female,41,0,1,250644,19.5,,S,
274274,0,1,male,37,0,1,PC 17596,29.7,C118,C,
275275,1,3,female,30.128275868031036,0,0,370375,7.75,,Q,
276276,1,1,female,63,1,0,13502,77.9583,D7,S,
277277,0,3,female,45,0,0,347073,7.75,,S,
278278,0,2,male,32.15319449972067,0,0,239853,0,,S,
279279,0,3,male,7,4,1,382652,29.125,,Q,
280280,1,3,female,35,1,1,C.A. 2673,20.25,,S,
281281,0,3,male,65,0,0,336439,7.75,,Q,
282282,0,3,male,28,0,0,347464,7.8542,,S,
283283,0,3,male,16,0,0,345778,9.5,,S,
284284,1,3,male,19,0,0,A/5. 10482,8.05,,S,
285285,0,1,male,33.83151530510761,0,0,113056,26,A19,S,
286286,0,3,male,33,0,0,349239,8.6625,,C,
287287,1,3,male,30,0,0,345774,9.5,,S,
288288,0,3,male,22,0,0,349206,7.8958,,S,
289289,1,2,male,42,0,0,237798,13,,S,
290290,1,3,female,22,0,0,370373,7.75,,Q,
291291,1,1,female,26,0,0,19877,78.85,,S,
292292,1,1,female,19,1,0,11967,91.0792,B49,C,
293293,0,2,male,36,0,0,SC/Paris 2163,12.875,D,C,
294294,0,3,female,24,0,0,349236,8.85,,S,
295295,0,3,male,24,0,0,349233,7.8958,,S,
296296,0,1,male,9.48521421724449,0,0,PC 17612,27.7208,,C,
297297,0,3,male,23.5,0,0,2693,7.2292,,C,
298298,0,1,female,2,1,2,113781,151.55,C22 C26,S,
299299,1,1,male,15.926320797217272,0,0,19988,30.5,C106,S,
300300,1,1,female,50,0,1,PC 17558,247.5208,B58 B60,C,
301301,1,3,female,0.7485877408018666,0,0,9234,7.75,,Q,
302302,1,3,male,36.68804198906047,2,0,367226,23.25,,Q,
303303,0,3,male,19,0,0,LINE,0,,S,
304304,1,2,female,12.085636139659009,0,0,226593,12.35,E101,Q,
305305,0,3,male,35.505457421348574,0,0,A/5 2466,8.05,,S,
306306,1,1,male,0.92,1,2,113781,151.55,C22 C26,S,
307307,1,1,female,15.84627789027438,0,0,17421,110.8833,,C,
308308,1,1,female,17,1,0,PC 17758,108.9,C65,C,
309309,0,2,male,30,1,0,P/PP 3381,24,,C,
310310,1,1,female,30,0,0,PC 17485,56.9292,E36,C,
311311,1,1,female,24,0,0,11767,83.1583,C54,C,
312312,1,1,female,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C,
313313,0,2,female,26,1,1,250651,26,,S,
314314,0,3,male,28,0,0,349243,7.8958,,S,
315315,0,2,male,43,1,1,F.C.C. 13529,26.25,,S,
316316,1,3,female,26,0,0,347470,7.8542,,S,
317317,1,2,female,24,1,0,244367,26,,S,
318318,0,2,male,54,0,0,29011,14,,S,
319319,1,1,female,31,0,2,36928,164.8667,C7,S,
320320,1,1,female,40,1,1,16966,134.5,E34,C,
321321,0,3,male,22,0,0,A/5 21172,7.25,,S,
322322,0,3,male,27,0,0,349219,7.8958,,S,
323323,1,2,female,30,0,0,234818,12.35,,Q,
324324,1,2,female,22,1,1,248738,29,,S,
325325,0,3,male,15.917995853176876,8,2,CA. 2343,69.55,,S,
326326,1,1,female,36,0,0,PC 17760,135.6333,C32,C,
327327,0,3,male,61,0,0,345364,6.2375,,S,
328328,1,2,female,36,0,0,28551,13,D,S,
329329,1,3,female,31,1,1,363291,20.525,,S,
330330,1,1,female,16,0,1,111361,57.9792,B18,C,
331331,1,3,female,6.966151927831383,2,0,367226,23.25,,Q,
332332,0,1,male,45.5,0,0,113043,28.5,C124,S,
333333,0,1,male,38,0,1,PC 17582,153.4625,C91,S,
334334,0,3,male,16,2,0,345764,18,,S,
335335,1,1,female,33.01013209225509,1,0,PC 17611,133.65,,S,
336336,0,3,male,9.740163018669264,0,0,349225,7.8958,,S,
337337,0,1,male,29,1,0,113776,66.6,C2,S,
338338,1,1,female,41,0,0,16966,134.5,E40,C,
339339,1,3,male,45,0,0,7598,8.05,,S,
340340,0,1,male,45,0,0,113784,35.5,T,S,
341341,1,2,male,2,1,1,230080,26,F2,S,
342342,1,1,female,24,3,2,19950,263,C23 C25 C27,S,
343343,0,2,male,28,0,0,248740,13,,S,
344344,0,2,male,25,0,0,244361,13,,S,
345345,0,2,male,36,0,0,229236,13,,S,
346346,1,2,female,24,0,0,248733,13,F33,S,
347347,1,2,female,40,0,0,31418,13,,S,
348348,1,3,female,45.71875883559571,1,0,386525,16.1,,S,
349349,1,3,male,3,1,1,C.A. 37671,15.9,,S,
350350,0,3,male,42,0,0,315088,8.6625,,S,
351351,0,3,male,23,0,0,7267,9.225,,S,
352352,0,1,male,44.51552355743763,0,0,113510,35,C128,S,
353353,0,3,male,15,1,1,2695,7.2292,,C,
354354,0,3,male,25,1,0,349237,17.8,,S,
355355,0,3,male,18.104881069233326,0,0,2647,7.225,,C,
356356,0,3,male,28,0,0,345783,9.5,,S,
357357,1,1,female,22,0,1,113505,55,E33,S,
358358,0,2,female,38,0,0,237671,13,,S,
359359,1,3,female,35.12459382205573,0,0,330931,7.8792,,Q,
360360,1,3,female,26.956834346493753,0,0,330980,7.8792,,Q,
361361,0,3,male,40,1,4,347088,27.9,,S,
362362,0,2,male,29,1,0,SC/PARIS 2167,27.7208,,C,
363363,0,3,female,45,0,1,2691,14.4542,,C,
364364,0,3,male,35,0,0,SOTON/O.Q. 3101310,7.05,,S,
365365,0,3,male,3.128939187787779,1,0,370365,15.5,,Q,
366366,0,3,male,30,0,0,C 7076,7.25,,S,
367367,1,1,female,60,1,0,110813,75.25,D37,C,
368368,1,3,female,43.89179912128893,0,0,2626,7.2292,,C,
369369,1,3,female,26.79408805058539,0,0,14313,7.75,,Q,
370370,1,1,female,24,0,0,PC 17477,69.3,B35,C,
371371,1,1,male,25,1,0,11765,55.4417,E50,C,
372372,0,3,male,18,1,0,3101267,6.4958,,S,
373373,0,3,male,19,0,0,323951,8.05,,S,
374374,0,1,male,22,0,0,PC 17760,135.6333,,C,
375375,0,3,female,3,3,1,349909,21.075,,S,
376376,1,1,female,10.848783713311555,1,0,PC 17604,82.1708,,C,
377377,1,3,female,22,0,0,C 7077,7.25,,S,
378378,0,1,male,27,0,2,113503,211.5,C82,C,
379379,0,3,male,20,0,0,2648,4.0125,,C,
380380,0,3,male,19,0,0,347069,7.775,,S,
381381,1,1,female,42,0,0,PC 17757,227.525,,C,
382382,1,3,female,1,0,2,2653,15.7417,,C,
383383,0,3,male,32,0,0,STON/O 2. 3101293,7.925,,S,
384384,1,1,female,35,1,0,113789,52,,S,
385385,0,3,male,38.459077856401535,0,0,349227,7.8958,,S,
386386,0,2,male,18,0,0,S.O.C. 14879,73.5,,S,
387387,0,3,male,1,5,2,CA 2144,46.9,,S,
388388,1,2,female,36,0,0,27849,13,,S,
389389,0,3,male,18.121925378110138,0,0,367655,7.7292,,Q,
390390,1,2,female,17,0,0,SC 1748,12,,C,
391391,1,1,male,36,1,2,113760,120,B96 B98,S,
392392,1,3,male,21,0,0,350034,7.7958,,S,
393393,0,3,male,28,2,0,3101277,7.925,,S,
394394,1,1,female,23,1,0,35273,113.275,D36,C,
395395,1,3,female,24,0,2,PP 9549,16.7,G6,S,
396396,0,3,male,22,0,0,350052,7.7958,,S,
397397,0,3,female,31,0,0,350407,7.8542,,S,
398398,0,2,male,46,0,0,28403,26,,S,
399399,0,2,male,23,0,0,244278,10.5,,S,
400400,1,2,female,28,0,0,240929,12.65,,S,
401401,1,3,male,39,0,0,STON/O 2. 3101289,7.925,,S,
402402,0,3,male,26,0,0,341826,8.05,,S,
403403,0,3,female,21,1,0,4137,9.825,,S,
404404,0,3,male,28,1,0,STON/O2. 3101279,15.85,,S,
405405,0,3,female,20,0,0,315096,8.6625,,S,
406406,0,2,male,34,1,0,28664,21,,S,
407407,0,3,male,51,0,0,347064,7.75,,S,
408408,1,2,male,3,1,1,29106,18.75,,S,
409409,0,3,male,21,0,0,312992,7.775,,S,
410410,0,3,female,19.62685790827151,3,1,4133,25.4667,,S,
411411,0,3,male,14.633421665881997,0,0,349222,7.8958,,S,
412412,0,3,male,26.49546553484528,0,0,394140,6.8583,,Q,
413413,1,1,female,33,1,0,19928,90,C78,Q,
414414,0,2,male,2.3581388039262308,0,0,239853,0,,S,
415415,1,3,male,44,0,0,STON/O 2. 3101269,7.925,,S,
416416,0,3,female,6.08256354923995,0,0,343095,8.05,,S,
417417,1,2,female,34,1,1,28220,32.5,,S,
418418,1,2,female,18,0,2,250652,13,,S,
419419,0,2,male,30,0,0,28228,13,,S,
420420,0,3,female,10,0,2,345773,24.15,,S,
421421,0,3,male,3.6761598046189476,0,0,349254,7.8958,,C,
422422,0,3,male,21,0,0,A/5. 13032,7.7333,,Q,
423423,0,3,male,29,0,0,315082,7.875,,S,
424424,0,3,female,28,1,1,347080,14.4,,S,
425425,0,3,male,18,1,1,370129,20.2125,,S,
426426,0,3,male,13.35769156698273,0,0,A/4. 34244,7.25,,S,
427427,1,2,female,28,1,0,2003,26,,S,
428428,1,2,female,19,0,0,250655,26,,S,
429429,0,3,male,47.39246908225472,0,0,364851,7.75,,Q,
430430,1,3,male,32,0,0,SOTON/O.Q. 392078,8.05,E10,S,
431431,1,1,male,28,0,0,110564,26.55,C52,S,
432432,1,3,female,33.03834328659885,1,0,376564,16.1,,S,
433433,1,2,female,42,1,0,SC/AH 3085,26,,S,
434434,0,3,male,17,0,0,STON/O 2. 3101274,7.125,,S,
435435,0,1,male,50,1,0,13507,55.9,E44,S,
436436,1,1,female,14,1,2,113760,120,B96 B98,S,
437437,0,3,female,21,2,2,W./C. 6608,34.375,,S,
438438,1,2,female,24,2,3,29106,18.75,,S,
439439,0,1,male,64,1,4,19950,263,C23 C25 C27,S,
440440,0,2,male,31,0,0,C.A. 18723,10.5,,S,
441441,1,2,female,45,1,1,F.C.C. 13529,26.25,,S,
442442,0,3,male,20,0,0,345769,9.5,,S,
443443,0,3,male,25,1,0,347076,7.775,,S,
444444,1,2,female,28,0,0,230434,13,,S,
445445,1,3,male,14.699600967343088,0,0,65306,8.1125,,S,
